transaction_id,ts,user_id,country,city,product_id,category,subcategory,unit_price,qty,discount_code,payment_type,device,channel,referrer,is_return,return_date,status,notes
# Jeu de données synthétique ventes multicanal
# Encodage: UTF-8 ; Les lignes commençant par # sont des commentaires à ignorer
# Certaines lignes sont volontairement malformées pour tester la robustesse des parseurs
g9Noyiwrslol,2025-08-09 23:43:02,508,CA,Toronto,1281,Beauté,Cheveux,34.16,1,BLACKFRIDAY,paypal,desktop,web,friend,0,,refunded,
FqN9bUAEkgPg,2025-09-28 14:37:40,213,US,Seattle,1273,Beauté,Maquillage,24.66,5,,interac,mobile,web,friend,0,,paid,
Ol4yoc1pzFdI,2025-09-06 17:00:55,877,US,San Francisco,1091,Maison,Décoration,39.82,5,BLACKFRIDAY,paypal,tablet,web,instagram,0,,paid,"Promo appliquée, vérifier le cumul"
xW9kNhrcSfuu,2025-08-24 06:38:04,490,DE,Berlin,1035,Électronique,Écouteurs,13.32,1,ÉTÉ2025,crypto,mobile,app,google,0,,paid,
tKTkJc1scYAr,2025-07-17 14:31:34,1175,FR,Toulouse,1158,Mode,Vêtements,13.52,1,BLACKFRIDAY,interac,mobile,marketplace,newsletter,0,,paid,
zENpOSWe9DyF,2025-07-24 21:49:35,56,MA,Marrakech,1161,Mode,Accessoires,36.36,3,ÉTÉ2025,paypal,mobile,web,newsletter,0,,pending,"Nom cont… ""Dupont, Jean"""
fPtFhYXgexjX,2025-08-22 22:21:08,1932,FR,Marseille,1233,Sport,Randonnée,17.71,1,WELCOME10,crypto,desktop,web,newsletter,0,,paid,"Paiement réessayé, ok"
BoxPGI7temaA,2025-09-19 00:15:43,28,MA,Marrakech,1147,Mode,Vêtements,12.68,5,,interac,mobile,web,tiktok,0,,paid,
85JSADNhNSWT,2025-10-04 05:58:04,136,CA,Toronto,1065,Maison,Cuisine,48.33,1,,interac,tablet,web,direct,0,,paid,
DXXcp9TPdYsf,2025-09-22 12:57:22,1236,US,Seattle,1240,Beauté,Soins,16.51,3,STUDENT,card,mobile,web,direct,0,,paid,
DMOAXCmlgkUd,2025-07-08 01:16:15,382,CA,Vancouver,1280,Beauté,Cheveux,25.97,1,STUDENT,interac,desktop,web,instagram,0,,paid,
VaEEYLEnOCBL,2025-09-30 01:26:19,634,MA,Casablanca,1115,Maison,Literie,28.52,5,WELCOME10,card,mobile,web,newsletter,0,,paid,
U2j9vS89SqKr,2025-07-31 03:48:44,1017,CA,Vancouver,1080,Maison,Décoration,21.98,1,,crypto,desktop,web,newsletter,0,,paid,
eTbc3APwaVH4,2025-09-13 01:40:11,1355,DE,Hamburg,1080,Maison,Décoration,21.98,1,WELCOME10,interac,desktop,marketplace,friend,0,,paid,
NtlCNntehRm7,2025-09-10 02:12:48,1124,US,San Francisco,1161,Mode,Accessoires,36.36,5,,crypto,mobile,app,direct,0,,paid,"Promo appliquée, vérifier le cumul"
k8ZEN2tiSjqf,2025-07-27 11:38:47,1203,DE,Munich,1280,Beauté,Cheveux,25.97,1,BLACKFRIDAY,paypal,mobile,web,friend,0,,paid,
BWhsUmM45P8A,2025-09-19 14:29:58,1602,DE,Berlin,1094,Maison,Décoration,20.16,1,,crypto,tablet,marketplace,google,0,,paid,
9yM01T6NIXe2,2025-08-01 13:14:02,894,CA,Vancouver,1092,Maison,Décoration,17.27,3,,crypto,desktop,web,tiktok,0,,pending,
OyR2dILNl7Gz,2025-08-23 04:04:03,1085,FR,Paris,1253,Beauté,Soins,41.11,1,,crypto,desktop,marketplace,friend,0,,paid,
BJbWk8HzSNRx,2025-09-05 09:32:58,550,US,Boston,1146,Mode,Vêtements,13.22,1,,interac,mobile,web,google,0,,paid,
czpaOxmDeZmu,2025-08-12 08:49:48,808,DE,Munich,1203,Sport,Cyclisme,41.55,1,,crypto,mobile,web,instagram,0,,paid,
0mkwj7G9wtUE,2025-10-06 11:30:52,1705,DE,Hamburg,1254,Beauté,Soins,11.48,1,STUDENT,interac,tablet,web,friend,0,,paid,
giOJr1ylCqI0,2025-09-15 08:49:43,1407,US,Seattle,1191,Sport,Fitness,37.64,3,WELCOME10,paypal,mobile,app,direct,0,,refunded,
kcTWn4kPhPYv,2025-07-18 06:26:36,397,MA,Rabat,1144,Mode,Vêtements,27.94,1,,paypal,desktop,web,tiktok,0,,paid,
ySvuz7fv0L6b,2025-08-06 05:39:29,825,CA,Montréal,1071,Maison,Cuisine,52.93,1,,card,desktop,web,friend,0,,paid,
y9RqdJbSDLCk,2025-07-25 00:37:19,673,CA,Toronto,1200,Sport,Cyclisme,29.34,2,,card,mobile,app,tiktok,0,,paid,"Promo appliquée, vérifier le cumul"
qJ8P7ClbVUqm,2025-08-15 23:21:56,491,FR,Paris,1177,Mode,Accessoires,50.74,1,BLACKFRIDAY,crypto,mobile,web,google,0,,paid,
TIsyhiIrAL7t,2025-08-31 08:38:16,1720,MA,Casablanca,1079,Maison,Cuisine,9.08,3,STUDENT,interac,tablet,marketplace,tiktok,0,,failed,
oUMcuv7luX4m,2025-09-24 04:45:17,1312,FR,Paris,1003,Électronique,Téléphones,52.54,1,ÉTÉ2025,interac,mobile,app,tiktok,0,,paid,
lsosEXywDfg2,2025-07-23 01:26:44,539,DE,Munich,1235,Sport,Randonnée,33.68,1,ÉTÉ2025,interac,mobile,web,direct,0,,paid,
IuNslkC5HZNE,2025-09-21 13:17:26,1512,FR,Paris,1261,Beauté,Maquillage,23.81,1,,interac,mobile,web,newsletter,0,,paid,
